policy,sid,turn,arrival_s,node,history_blocks,missing_blocks,recovery,ttft_s,slo_success,seed
eager_full,15,3,60.5,3,40,39,transfer,2.325,0,2
eager_full,24,1,60.5,2,18,18,transfer,1.025,1,2
eager_full,27,2,60.5,1,31,31,recompute,3.616666666666667,0,2
eager_full,22,3,61.5,2,42,42,transfer,3.158333333333335,0,2
eager_full,39,4,62.0,3,47,0,hit,1.5166666666666682,1,2
eager_full,20,3,62.5,0,33,32,transfer,1.85,1,2
eager_full,11,2,63.5,3,36,35,transfer,2.5749999999999935,0,2
eager_full,26,3,64.0,0,37,37,recompute,3.9416666666666584,0,2
eager_full,19,0,66.0,1,0,0,hit,0.4166666666666667,1,2
eager_full,12,1,67.0,3,18,17,transfer,1.1833333333333333,1,2
eager_full,31,3,67.0,1,27,27,transfer,1.6833333333333333,1,2
eager_full,9,2,69.0,3,33,32,transfer,1.975,1,2
eager_full,25,0,69.0,0,0,0,hit,0.4583333333333333,1,2
eager_full,2,3,70.5,0,41,41,recompute,3.6666666666666665,0,2
eager_full,3,3,70.5,1,31,31,transfer,1.8416666666666668,1,2
eager_full,15,4,70.5,2,53,53,transfer,3.025,0,2
eager_full,27,3,70.5,1,44,0,hit,2.5166666666666657,0,2
eager_full,28,3,71.0,3,49,49,transfer,3.2333333333333223,0,2
eager_full,37,2,71.0,2,29,9,transfer,3.5500000000000087,0,2
eager_full,6,2,71.5,1,27,27,transfer,3.558333333333338,0,2
eager_full,18,3,72.5,0,42,42,transfer,4.50000000000001,0,2
eager_full,11,3,73.5,3,46,0,hit,1.4583333333333144,1,2
eager_full,17,3,73.5,3,33,32,transfer,3.591666666666651,0,2
eager_full,22,4,74.5,2,55,0,hit,0.7750000000000057,1,2
eager_full,23,1,74.5,1,16,16,transfer,2.2916666666666647,0,2
eager_full,26,4,74.5,0,49,0,hit,3.0500000000000114,0,2
eager_full,7,1,77.5,1,12,12,recompute,1.2916666666666667,1,2
eager_full,14,4,77.5,2,37,37,recompute,3.375,0,2
eager_full,24,2,78.5,3,28,27,transfer,1.6,1,2
eager_full,9,3,79.0,0,48,48,recompute,4.25,0,2
eager_full,25,1,79.0,1,16,16,transfer,1.2833333333333439,1,2
eager_full,33,0,79.5,1,0,0,hit,1.525000000000015,1,2
eager_full,5,3,80.5,3,39,38,transfer,2.1666666666666607,0,2
eager_full,37,3,81.0,2,44,0,hit,0.5250000000000057,1,2
eager_full,6,3,82.5,1,40,0,hit,0.375,1,2
eager_full,12,2,82.5,2,29,29,transfer,1.6583333333333332,1,2
eager_full,10,5,83.5,3,58,57,transfer,3.0166666666666666,0,2
eager_full,17,4,83.5,1,46,46,transfer,2.55,0,2
eager_full,27,4,84.0,0,57,57,transfer,3.0166666666666666,0,2
eager_full,35,3,84.0,2,35,31,transfer,2.158333333333334,0,2
eager_full,36,0,84.5,2,0,0,hit,2.275000000000001,0,2
eager_full,8,3,87.5,3,37,36,transfer,1.925,1,2
eager_full,19,1,87.5,1,14,14,transfer,0.9916666666666667,1,2
eager_full,23,2,89.0,0,27,27,recompute,2.4583333333333335,0,2
eager_full,24,3,89.0,3,39,0,hit,0.9916666666666695,1,2
eager_full,25,2,89.0,1,25,0,hit,0.21666666666665435,1,2
eager_full,16,0,90.0,1,0,0,hit,0.625,1,2
eager_full,26,5,90.0,0,61,9,transfer,2.758333333333323,0,2
eager_full,7,2,90.5,2,23,23,recompute,2.291666666666667,0,2
eager_full,22,5,91.0,1,62,62,recompute,5.541666666666667,0,2
eager_full,3,4,92.5,3,41,41,recompute,3.625,0,2
eager_full,11,4,93.0,0,51,51,transfer,3.0833333333333313,0,2
eager_full,12,3,93.0,2,36,0,hit,0.40000000000001046,1,2
eager_full,30,3,93.0,2,38,38,transfer,3.333333333333342,0,2
eager_full,6,4,94.0,1,54,23,transfer,4.316666666666672,0,2
eager_full,10,6,95.5,3,64,29,transfer,2.7499999999999973,0,2
eager_full,8,4,97.5,0,44,44,recompute,4.041666666666666,0,2
eager_full,35,4,98.5,3,43,7,transfer,0.7749999999999971,1,2
eager_full,33,1,100.0,3,18,14,transfer,1.0333333333333332,1,2
eager_full,20,4,100.5,1,42,42,transfer,2.3916666666666666,0,2
eager_full,21,3,100.5,2,29,28,transfer,1.7333333333333332,1,2
eager_full,17,5,101.5,3,59,58,transfer,3.2333333333333334,0,2
eager_full,5,4,102.0,0,50,50,transfer,2.875000000000005,0,2
eager_full,28,4,102.0,2,60,60,transfer,3.7666666666666706,0,2
eager_full,16,1,103.0,1,18,8,transfer,0.7166666666666629,1,2
eager_full,6,5,104.0,1,63,0,hit,0.20833333333333334,1,2
eager_full,7,3,104.5,2,36,0,hit,1.7916666666666714,1,2
eager_full,19,2,107.0,3,27,26,transfer,1.5083333333333333,1,2
eager_full,32,1,108.0,0,16,16,recompute,1.5833333333333333,1,2
eager_full,33,2,110.0,3,29,7,transfer,0.5166666666666666,1,2
eager_full,36,1,110.5,0,17,17,transfer,1.1416666666666666,1,2
eager_full,2,4,111.5,3,51,50,transfer,2.8333333333333335,0,2
eager_full,23,3,111.5,1,38,38,transfer,2.1916666666666664,0,2
eager_full,30,4,112.0,2,53,53,transfer,2.9,0,2
eager_full,18,4,113.0,0,53,53,transfer,2.775,0,2
eager_full,3,5,114.5,1,49,49,transfer,2.6583333333333337,0,2
eager_full,21,4,116.0,3,39,38,transfer,2.0666666666666664,0,2
eager_full,5,5,116.5,0,60,0,hit,0.2916666666666667,1,2
eager_full,16,2,117.0,1,23,0,hit,0.5833333333333286,1,2
eager_full,32,2,118.0,0,24,24,transfer,1.4916666666666667,1,2
eager_full,17,6,119.0,1,70,70,recompute,6.0,0,2
